"Date","Price","Open","High","Low","Vol.","Change %"
"May 11, 2020","123.82","124.90","125.57","123.45","78.84K","-0.68%"
"May 08, 2020","124.67","125.38","125.75","121.61","110.37K","0.96%"
"May 07, 2020","123.48","123.58","124.75","122.64","70.78K","1.21%"
"May 06, 2020","122.00","121.08","123.43","120.81","62.70K","0.99%"
"May 05, 2020","120.81","120.36","123.86","119.80","57.77K","1.91%"
"May 04, 2020","118.55","122.19","122.19","117.14","91.06K","-3.30%"
"May 01, 2020","122.59","123.66","124.18","120.96","66.45K","-2.96%"
"Apr 30, 2020","126.33","125.71","128.84","125.25","88.94K","-0.90%"
"Apr 29, 2020","127.48","130.08","130.08","123.20","161.47K","-1.06%"
"Apr 28, 2020","128.85","129.90","131.01","127.80","85.51K","-0.29%"
"Apr 27, 2020","129.23","127.27","131.30","127.00","66.57K","2.93%"
"Apr 24, 2020","125.55","125.96","127.48","124.64","36.44K","-0.34%"
"Apr 23, 2020","125.98","125.62","127.58","124.00","58.56K","0.78%"
"Apr 22, 2020","125.01","124.48","126.21","123.39","54.76K","1.87%"
"Apr 21, 2020","122.71","124.06","124.52","121.65","67.76K","-3.32%"
"Apr 20, 2020","126.92","124.06","127.36","123.00","46.04K","0.31%"
"Apr 17, 2020","126.53","127.23","127.42","125.45","72.02K","1.93%"
"Apr 16, 2020","124.13","122.79","125.46","122.07","59.70K","1.25%"
"Apr 15, 2020","122.60","121.62","124.90","120.49","59.79K","-3.08%"
"Apr 14, 2020","126.50","126.02","127.61","124.83","76.34K","3.61%"
"Apr 13, 2020","122.09","124.30","124.30","119.57","49.06K","-2.66%"
"Apr 09, 2020","125.42","124.85","127.33","122.82","52.40K","1.97%"
"Apr 08, 2020","123.00","119.39","124.60","118.74","58.77K","4.49%"
"Apr 07, 2020","117.71","117.78","119.80","115.11","54.54K","1.45%"
"Apr 06, 2020","116.03","117.56","117.56","112.49","67.48K","3.39%"
"Apr 03, 2020","112.23","113.44","115.60","109.39","42.90K","-1.97%"
"Apr 02, 2020","114.49","112.24","117.86","111.50","37.99K","0.97%"
"Apr 01, 2020","113.39","115.05","116.63","108.64","79.95K","-3.99%"
"Mar 31, 2020","118.10","109.99","118.18","109.99","120.60K","7.13%"
"Mar 30, 2020","110.24","107.20","110.67","104.67","71.23K","3.70%"
"Mar 27, 2020","106.31","107.79","108.44","105.15","75.17K","-3.83%"
"Mar 26, 2020","110.54","107.34","111.61","107.34","71.87K","6.16%"
"Mar 25, 2020","104.13","103.05","108.76","103.05","86.10K","-2.58%"
"Mar 24, 2020","106.89","104.84","107.16","103.21","75.01K","4.31%"
"Mar 23, 2020","102.47","104.31","104.31","96.68","62.39K","1.72%"
"Mar 20, 2020","100.74","105.75","109.09","99.34","104.59K","-4.40%"
"Mar 19, 2020","105.38","90.00","106.28","90.00","90.20K","14.30%"
"Mar 18, 2020","92.20","103.66","104.15","91.58","115.06K","-15.69%"
"Mar 17, 2020","109.36","108.04","112.81","105.63","106.07K","2.53%"
"Mar 16, 2020","106.66","102.88","108.45","99.79","136.82K","-4.19%"
"Mar 13, 2020","111.33","111.92","113.70","106.27","149.69K","2.58%"
"Mar 12, 2020","108.53","119.98","122.60","108.06","135.13K","-12.58%"
"Mar 11, 2020","124.15","127.61","127.76","122.00","71.55K","-4.49%"
"Mar 10, 2020","129.98","131.93","131.93","126.26","143.00K","0.42%"
"Mar 09, 2020","129.43","131.35","132.81","129.10","80.83K","-5.03%"
"Mar 06, 2020","136.28","133.90","136.74","133.90","73.38K","-0.44%"
"Mar 05, 2020","136.88","133.96","137.23","133.96","98.31K","0.52%"
"Mar 04, 2020","136.17","136.05","136.50","134.16","77.72K","1.32%"
"Mar 03, 2020","134.39","136.23","138.82","132.10","66.00K","-1.70%"
"Mar 02, 2020","136.72","135.73","137.73","135.16","74.80K","1.15%"
"Feb 28, 2020","135.16","133.40","136.00","132.62","99.67K","-0.78%"
"Feb 27, 2020","136.22","137.57","140.72","136.10","70.96K","-2.78%"
"Feb 26, 2020","140.12","140.64","142.41","140.06","50.72K","0.05%"
"Feb 25, 2020","140.05","145.71","145.86","140.05","98.96K","-4.00%"
"Feb 24, 2020","145.88","146.32","147.86","143.81","53.05K","-2.71%"
"Feb 21, 2020","149.95","149.55","150.68","149.16","59.71K","0.10%"
"Feb 20, 2020","149.80","149.15","150.28","148.21","92.26K","0.13%"
"Feb 19, 2020","149.60","148.26","150.17","148.16","45.44K","1.10%"
"Feb 18, 2020","147.97","148.63","148.66","147.53","23.41K","-0.58%"
"Feb 14, 2020","148.84","148.32","149.68","147.12","56.48K","0.52%"
"Feb 13, 2020","148.07","149.28","149.73","146.93","59.87K","-1.18%"
"Feb 12, 2020","149.84","152.44","153.54","149.45","54.28K","-1.49%"
"Feb 11, 2020","152.10","151.70","153.34","151.22","48.03K","0.43%"
"Feb 10, 2020","151.45","153.06","153.57","151.12","28.52K","-0.79%"
"Feb 07, 2020","152.66","151.29","153.57","151.20","74.60K","0.28%"
"Feb 06, 2020","152.24","152.76","153.85","151.95","56.11K","-0.39%"
"Feb 05, 2020","152.84","152.83","153.31","150.84","96.08K","0.68%"
"Feb 04, 2020","151.81","150.63","152.54","150.46","87.11K","1.56%"
"Feb 03, 2020","149.48","152.45","156.09","149.01","101.83K","-1.68%"
"Jan 31, 2020","152.03","152.64","154.76","151.51","101.09K","-0.44%"
"Jan 30, 2020","152.70","153.41","157.10","151.34","104.80K","0.07%"
"Jan 29, 2020","152.60","157.00","165.00","152.31","254.68K","5.97%"
"Jan 28, 2020","144.00","143.02","144.54","141.30","60.78K","1.03%"
"Jan 27, 2020","142.53","141.52","143.79","141.25","51.74K","-0.44%"
"Jan 24, 2020","143.16","146.14","146.74","142.78","39.26K","-1.77%"
"Jan 23, 2020","145.74","145.77","146.66","145.48","45.51K","-0.12%"
"Jan 22, 2020","145.92","146.94","147.34","145.64","45.83K","-0.02%"
"Jan 21, 2020","145.95","146.29","147.57","145.13","53.28K","-0.54%"
"Jan 17, 2020","146.74","147.47","147.47","146.22","33.56K","0.01%"
"Jan 16, 2020","146.72","147.12","147.96","146.08","35.75K","0.31%"
"Jan 15, 2020","146.27","144.83","147.05","144.83","53.48K","1.04%"
"Jan 14, 2020","144.77","144.69","145.68","144.07","46.83K","0.12%"
"Jan 13, 2020","144.59","142.52","145.31","142.52","48.99K","1.55%"
"Jan 10, 2020","142.39","144.14","145.16","142.15","41.09K","-0.77%"
"Jan 09, 2020","143.50","144.45","145.32","142.91","64.25K","-0.15%"
"Jan 08, 2020","143.71","143.95","145.47","142.07","39.51K","-0.11%"
"Jan 07, 2020","143.87","144.00","145.37","143.24","34.87K","-0.26%"
"Jan 06, 2020","144.25","143.25","145.46","143.25","32.74K","0.47%"
"Jan 03, 2020","143.57","143.02","144.89","142.80","58.52K","-0.51%"
"Jan 02, 2020","144.31","142.84","144.89","142.72","27.63K","1.18%"
"Dec 31, 2019","142.63","141.81","143.12","141.21","49.59K","0.43%"
